siteid,month,tmean_celsius
NAT_091,4/1/19,0.49191284
NAT_091,5/1/19,2.7011719
NAT_091,6/1/19,10.354889
NAT_091,7/1/19,17.329834
NAT_091,8/1/19,16.810333
NAT_091,9/1/19,11.735321
NAT_091,10/1/19,0.0932312
NAT_091,11/1/19,-2.445465
NAT_091,12/1/19,-9.468231
NAT_091,1/1/20,-9.382996
NAT_091,2/1/20,-9.136169
NAT_091,3/1/20,-3.9029846
NAT_091,4/1/20,-0.4692688
NAT_091,5/1/20,7.202362
NAT_091,6/1/20,12.127258
NAT_091,7/1/20,17.46576
NAT_091,8/1/20,18.76007
NAT_091,9/1/20,11.715912
NAT_091,10/1/20,5.827057
NAT_091,11/1/20,-3.5334167
NAT_091,12/1/20,-8.618713
NAT_091,1/1/21,-9.502594
NAT_091,2/1/21,-9.33844
NAT_091,3/1/21,-5.2296143
NAT_091,4/1/21,-0.45211792
NAT_091,5/1/21,6.044861
NAT_091,6/1/21,16.026855
NAT_091,7/1/21,18.627716
NAT_091,8/1/21,15.609711
NAT_091,9/1/21,12.131836
NAT_091,10/1/21,2.0692444
NAT_091,11/1/21,0.16784668
NAT_091,12/1/21,-7.4553223
NAT_091,1/1/22,-9.134003
NAT_091,2/1/22,-9.519592
NAT_091,3/1/22,-4.209778
NAT_091,4/1/22,-0.56884766
NAT_091,5/1/22,4.754303
NAT_091,6/1/22,12.935486
NAT_091,7/1/22,17.82962
NAT_091,8/1/22,16.788452
NAT_091,9/1/22,13.341644
NAT_091,10/1/22,3.6589966
NAT_091,11/1/22,-7.765564
NAT_091,12/1/22,-10.194824
NAT_092,1/1/18,-3.3859558
NAT_092,2/1/18,-4.963745
NAT_092,3/1/18,-1.4127197
NAT_092,4/1/18,5.7652893
NAT_092,5/1/18,11.196259
NAT_092,6/1/18,19.065643
NAT_092,7/1/18,21.81543
NAT_092,8/1/18,20.10965
NAT_092,9/1/18,16.61789
NAT_092,10/1/18,4.7573547
NAT_092,11/1/18,-0.3300171
NAT_092,12/1/18,-7.067871
NAT_092,1/1/19,-7.2450867
NAT_092,2/1/19,-8.261261
NAT_092,3/1/19,-2.2048035
NAT_092,4/1/19,3.2991943
NAT_092,5/1/19,5.2826843
NAT_092,6/1/19,14.1597595
NAT_092,7/1/19,20.35379
NAT_092,8/1/19,20.656586
NAT_092,9/1/19,15.18869
NAT_092,10/1/19,4.62619
NAT_092,11/1/19,1.4049683
NAT_092,12/1/19,-6.725189
NAT_092,1/1/20,-6.678589
NAT_092,2/1/20,-5.8993835
NAT_092,3/1/20,-1.4277039
NAT_092,4/1/20,3.9186707
NAT_092,5/1/20,12.343353
NAT_092,6/1/20,16.541351
NAT_092,7/1/20,21.306091
NAT_092,8/1/20,22.357208
NAT_092,9/1/20,15.93515
NAT_092,10/1/20,9.822266
NAT_092,11/1/20,1.1914368
NAT_092,12/1/20,-4.7566833
NAT_092,1/1/21,-6.725342
NAT_092,2/1/21,-5.785736
NAT_092,3/1/21,-2.7677917
NAT_092,4/1/21,4.6939697
NAT_092,5/1/21,11.247803
NAT_092,6/1/21,20.331818
NAT_092,7/1/21,21.768097
NAT_092,8/1/21,19.16687
NAT_092,9/1/21,15.864075
NAT_092,10/1/21,4.7253113
NAT_092,11/1/21,3.8622742
NAT_092,12/1/21,-4.5259705
NAT_092,1/1/22,-6.7378845
NAT_092,2/1/22,-6.1000366
NAT_092,3/1/22,-1.1460571
NAT_092,4/1/22,4.3554993
NAT_092,5/1/22,10.217163
NAT_092,6/1/22,17.965729
NAT_092,7/1/22,21.598328
NAT_092,8/1/22,18.82724
NAT_092,9/1/22,16.494019
NAT_092,10/1/22,7.0659485
NAT_092,11/1/22,-4.6455994
NAT_092,12/1/22,-6.9447937
NAT_093,1/1/18,-3.8919678
NAT_093,2/1/18,-6.2071533
NAT_093,3/1/18,-2.6288452
NAT_093,4/1/18,1.885437
NAT_093,5/1/18,8.180908
NAT_093,6/1/18,12.596222
NAT_093,7/1/18,20.067383
NAT_093,8/1/18,18.300537
NAT_093,9/1/18,12.677826
NAT_093,10/1/18,4.846863
NAT_093,11/1/18,-2.9728088
NAT_093,12/1/18,-8.008728
NAT_093,1/1/19,-6.3246155
NAT_093,2/1/19,-6.646515
NAT_093,3/1/19,-2.6412964
NAT_093,4/1/19,2.1448364
NAT_093,5/1/19,5.850769
NAT_093,6/1/19,12.311584
NAT_093,7/1/19,17.949097
NAT_093,8/1/19,18.251831
NAT_093,9/1/19,11.594055
NAT_093,10/1/19,-0.08517456
NAT_093,11/1/19,-0.82476807
NAT_093,12/1/19,-6.23584
NAT_093,1/1/20,-5.0376587
NAT_093,2/1/20,-5.8861084
NAT_093,3/1/20,-1.3790283
NAT_093,4/1/20,1.5213928
NAT_093,5/1/20,6.4625854
NAT_093,6/1/20,11.477234
NAT_093,7/1/20,17.326385
NAT_093,8/1/20,19.314362
NAT_093,9/1/20,14.242493
NAT_093,10/1/20,6.1516113
NAT_093,11/1/20,-3.4382935
NAT_093,12/1/20,-7.003418
NAT_093,1/1/21,-5.942566
NAT_093,2/1/21,-5.8842773
NAT_093,3/1/21,-2.327362
NAT_093,4/1/21,1.6418152
NAT_093,5/1/21,5.950714
NAT_093,6/1/21,16.824707
NAT_093,7/1/21,22.175293
NAT_093,8/1/21,16.997314
NAT_093,9/1/21,12.916077
NAT_093,10/1/21,5.391876
NAT_093,11/1/21,-0.49804688
NAT_093,12/1/21,-5.454834
NAT_093,1/1/22,-7.0648804
NAT_093,2/1/22,-6.3604736
NAT_093,3/1/22,-0.67385864
NAT_093,4/1/22,-1.0707092
NAT_093,5/1/22,3.8345947
NAT_093,6/1/22,11.402039
NAT_093,7/1/22,20.112366
NAT_093,8/1/22,20.456024
NAT_093,9/1/22,15.255005
NAT_093,10/1/22,6.7233887
NAT_093,11/1/22,-6.848694
NAT_093,12/1/22,-7.4884033
NAT_094,1/1/18,-5.638977
