year,month,siteid,UNIT_NAME,pud,tud,aud,eud,d2p
2020,Jan,NAT_097,Sierra National Forest,0,49,49,21,2020-01-15
2020,Jan,NAT_098,Willamette National Forest,6,18,128,10,2020-01-15
2020,Jan,NAT_099,Fremont-Winema National Forest,0,7,1,9,2020-01-15
2020,Jan,NAT_100,Wallowa-Whitman National Forest,0,13,1,19,2020-01-15
2020,Jan,NAT_101,Colville National Forest,0,39,1,1,2020-01-15
2020,Jan,NAT_102,Okanogan-Wenatchee National Forest,2,43,91,48,2020-01-15
2020,Jan,NAT_103,Umatilla National Forest,0,6,1,5,2020-01-15
2020,Jan,NAT_104,Rogue River-Siskiyou National Forests,6,19,28,9,2020-01-15
2020,Jan,NAT_105,Mt. Baker-Snoqualmie National Forest,11,116,342,18,2020-01-15
2020,Jan,NAT_106,Ochoco National Forest,0,1,13,4,2020-01-15
2020,Jan,NAT_107,Deschutes National Forest,2,54,138,36,2020-01-15
2020,Jan,NAT_108,Columbia River Gorge National Scenic Area,5,44,311,33,2020-01-15
2020,Jan,NAT_109,Mt. Hood National Forest,10,92,298,21,2020-01-15
2020,Jan,NAT_110,Gifford Pinchot National Forest,2,27,54,4,2020-01-15
2020,Jan,NAT_111,Francis Marion and Sumter National Forests,2,8,115,49,2020-01-15
2020,Jan,NAT_112,National Forests in North Carolina,6,89,825,82,2020-01-15
2020,Jan,NAT_113,National Forests in Mississippi,3,8,17,28,2020-01-15
2020,Jan,NAT_114,Umpqua National Forest,7,21,32,2,2020-01-15
2020,Jan,NAT_115,Land Between the Lakes National Recreation Area,0,5,28,29,2020-01-15
2020,Jan,NAT_116,Mark Twain National Forest,6,14,74,7,2020-01-15
2020,Jan,NAT_117,Hiawatha National Forest,1,10,1,18,2020-01-15
2020,Jan,NAT_118,Daniel Boone National Forest,2,18,177,11,2020-01-15
2020,Jan,NAT_119,George Washington and Jefferson National Forest,8,25,254,57,2020-01-15
2020,Jan,NAT_120,Cherokee National Forest,3,15,184,22,2020-01-15
2020,Jan,NAT_121,National Forests in Texas,0,4,67,50,2020-01-15
2020,Jan,NAT_122,Chequamegon-Nicolet National Forest,3,3,2,16,2020-01-15
2020,Jan,NAT_123,Wayne National Forest,0,1,8,25,2020-01-15
2020,Jan,NAT_124,Hoosier National Forest,0,10,55,6,2020-01-15
2020,Jan,NAT_125,Huron-Manistee National Forest,3,181,9,38,2020-01-15
2020,Jan,NAT_126,Superior National Forest,2,5,8,102,2020-01-15
2020,Jan,NAT_127,Shawnee National Forest,0,5,59,4,2020-01-15
2020,Jan,NAT_128,Chippewa National Forest,0,2,0,4,2020-01-15
2020,Jan,NAT_129,Monongahela National Forest,3,19,30,15,2020-01-15
2020,Jan,NAT_130,Ottawa National Forest,2,1,0,5,2020-01-15
2020,Jan,NAT_131,National Forests in Florida,4,10,75,71,2020-01-15
2020,Jan,NAT_132,Chattahoochee-Oconee National Forests,3,48,546,33,2020-01-15
2020,Jan,NAT_133,National Forests in Alabama,0,10,129,10,2020-01-15
2020,Jan,NAT_134,Midewin National Tallgrass Prairie,0,0,1,20,2020-01-15
2020,Jan,NAT_135,Chugach National Forest,1,51,7,81,2020-01-15
2020,Jan,NAT_136,Parker River National Wildlife Refuge,9,3,0,471,2020-01-15
2020,Jan,NAT_137,Baskett Slough National Wildlife Refuge,0,0,3,35,2020-01-15
2020,Jan,NAT_138,Rocky Mountain Arsenal National Wildlife Refuge,4,58,15,135,2020-01-15
2020,Jan,NAT_139,Pinckney Island National Wildlife Refuge,2,0,5,59,2020-01-15
2020,Jan,NAT_140,Ridgefield National Wildlife Refuge,11,1,0,87,2020-01-15
2020,Jan,NAT_141,Arthur R. Marshall Loxahatchee National Wildlife Refuge,10,2,3,200,2020-01-15
2020,Jan,NAT_142,San Diego National Wildlife Refuge,2,12,61,11,2020-01-15
2020,Jan,NAT_143,Okefenokee National Wildlife Refuge,0,4,1,25,2020-01-15
2020,Jan,NAT_144,Harris Neck National Wildlife Refuge,0,1,1,44,2020-01-15
2020,Jan,NAT_145,Tijuana Slough National Wildlife Refuge,0,3,10,55,2020-01-15
2020,Jan,NAT_146,Wolf Creek National Fish Hatchery,0,0,0,0,2020-01-15
2020,Feb,NAT_001,Great Smoky Mountains National Park,9,48,540,28,2020-02-15
2020,Feb,NAT_002,Lincoln Memorial,16,82,0,0,2020-02-15
2020,Feb,NAT_003,Grand Canyon National Park,16,159,269,74,2020-02-15
2020,Feb,NAT_004,World War II Memorial,3,16,0,0,2020-02-15
2020,Feb,NAT_005,Rocky Mountain National Park,5,66,406,25,2020-02-15
2020,Feb,NAT_006,Vietnam Veterans Memorial,5,7,0,0,2020-02-15
2020,Feb,NAT_007,Independence National Historical Park,2,48,0,5,2020-02-15
2020,Feb,NAT_008,Zion National Park,22,25,347,55,2020-02-15
2020,Feb,NAT_009,Yosemite National Park,27,204,585,47,2020-02-15
2020,Feb,NAT_010,Castle Clinton National Monument,1,1,0,0,2020-02-15
2020,Feb,NAT_011,Statue Of Liberty National Monument,9,156,0,0,2020-02-15
2020,Feb,NAT_012,Yellowstone National Park,16,85,34,54,2020-02-15
2020,Feb,NAT_013,San Francisco Maritime National Historical Park,6,19,0,4,2020-02-15
2020,Feb,NAT_014,Korean War Veterans Memorial,1,3,0,0,2020-02-15
2020,Feb,NAT_015,"Martin Luther King, Jr., Memorial",5,14,0,0,2020-02-15
2020,Feb,NAT_016,Acadia National Park,0,20,59,75,2020-02-15
2020,Feb,NAT_017,Grand Teton National Park,14,38,16,16,2020-02-15
2020,Feb,NAT_018,Chattahoochee River National Recreation Area,4,17,301,161,2020-02-15
2020,Feb,NAT_019,Delaware Water Gap National Recreation Area,1,44,205,44,2020-02-15
2020,Feb,NAT_020,Colonial National Historical Park,3,19,2,56,2020-02-15
2020,Feb,NAT_021,Franklin Delano Roosevelt Memorial,1,6,4,8,2020-02-15
2020,Feb,NAT_022,Olympic National Park,8,24,149,29,2020-02-15
2020,Feb,NAT_023,Boston National Historical Park,2,17,0,3,2020-02-15
2020,Feb,NAT_024,Thomas Jefferson Memorial,2,7,0,0,2020-02-15
2020,Feb,NAT_025,Glacier National Park,2,20,19,20,2020-02-15
2020,Feb,NAT_026,Joshua Tree National Park,31,75,597,140,2020-02-15
2020,Feb,NAT_027,Cape Hatteras National Seashore,7,22,3,262,2020-02-15
2020,Feb,NAT_028,Bryce Canyon National Park,8,39,114,6,2020-02-15
2020,Feb,NAT_029,Rock Creek Park,4,13,54,57,2020-02-15
2020,Feb,NAT_030,Assateague Island National Seashore,10,18,13,269,2020-02-15
2020,Feb,NAT_031,Valley Forge National Historical Park,1,17,111,34,2020-02-15
2020,Feb,NAT_032,Cuyahoga Valley National Park,10,46,321,182,2020-02-15
2020,Feb,NAT_033,Indiana Dunes National Park,3,3,53,62,2020-02-15
2020,Feb,NAT_034,Gateway Arch National Park,6,28,0,4,2020-02-15
2020,Feb,NAT_035,Mount Rushmore National Memorial,0,10,2,2,2020-02-15
2020,Feb,NAT_036,Canaveral National Seashore,3,5,2,266,2020-02-15
2020,Feb,NAT_037,Arches National Park,9,28,162,13,2020-02-15
2020,Feb,NAT_038,Sleeping Bear Dunes National Lakeshore,3,9,12,28,2020-02-15
2020,Feb,NAT_039,Custer National Forest,1,16,11,4,2020-02-15
2020,Feb,NAT_040,Gallatin National Forest,0,35,29,17,2020-02-15
2020,Feb,NAT_041,Helena National Forest,0,13,3,7,2020-02-15
2020,Feb,NAT_042,Humboldt-Toiyabe National Forest -  Spring Mountains NRA,0,27,50,14,2020-02-15
2020,Feb,NAT_043,Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA,8,90,182,36,2020-02-15
2020,Feb,NAT_044,Lewis and Clark National Forest,1,14,4,2,2020-02-15
2020,Feb,NAT_045,Medicine Bow National Forest,0,25,10,10,2020-02-15
2020,Feb,NAT_046,Routt National Forest,1,30,25,23,2020-02-15
2020,Feb,NAT_047,Tongass National Forest-Juneau and Admiralty National Monument,0,9,12,29,2020-02-15
2020,Feb,NAT_048,"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay",0,5,2,17,2020-02-15
2020,Feb,NAT_049,Tongass National Forest-Sitka and Hoonah,0,14,1,14,2020-02-15
2020,Feb,NAT_050,"Tongass National Forest-Yakutat, Petersburg, and Wrangell",0,11,0,1,2020-02-15
2020,Feb,NAT_051,White River National Forest,22,330,168,43,2020-02-15
2020,Feb,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests",6,30,15,12,2020-02-15
2020,Feb,NAT_053,Shoshone National Forest,0,18,3,12,2020-02-15
2020,Feb,NAT_054,Nebraska National Forest,0,2,0,6,2020-02-15
2020,Feb,NAT_055,San Juan National Forest,2,11,24,18,2020-02-15
2020,Feb,NAT_056,Black Hills National Forest,0,20,52,10,2020-02-15
2020,Feb,NAT_057,Bighorn National Forest,2,26,2,2,2020-02-15
2020,Feb,NAT_058,Pike and San Isabel National Forests,3,403,223,44,2020-02-15
2020,Feb,NAT_059,Carson National Forest,1,10,32,9,2020-02-15
2020,Feb,NAT_060,Cibola National Forest,4,28,150,160,2020-02-15
2020,Feb,NAT_061,Coronado National Forest,17,49,1017,1041,2020-02-15
2020,Feb,NAT_062,Lincoln National Forest,1,18,48,4,2020-02-15
2020,Feb,NAT_063,Gila National Forest,0,17,25,27,2020-02-15
2020,Feb,NAT_064,Prescott National Forest,2,8,170,63,2020-02-15
